topic_id,doc_count,topic_name,top_keywords
-1,3569,-1_vendor_check_slow_multiple,outlier — no coherent topic
0,3531,0_quickbooks_quickbooks online_invoices_invoice,"quickbooks, quickbooks online, invoices, invoice, payroll, accounting, online, reporting, bank, report"
1,927,1_sap_cloud_erp_s4,"sap, cloud, erp, s4, price, expensive, cost, cloud based, high, pricing"
2,571,2_customization_navigate_customizations_interface,"customization, navigate, customizations, interface, navigation, ui, hard navigate, user interface, menu, customize"
3,519,3_netsuite_searches_saved searches_implementation,"netsuite, searches, saved searches, implementation, saved, fields, challenging, powerful, team, consultant"
4,493,4_dislikes_dislike_dislike software_like dislike,"dislikes, dislike, dislike software, like dislike, don dislikes, think dislike, isn dislike, say dislike, don dislike, really dislike"
5,478,5_xero_businesses_small businesses_bank,"xero, businesses, small businesses, bank, advanced, feeds, bank feeds, advanced features, accounting, integrations"
6,427,6_sage_sage intacct_intacct_intact,"sage, sage intacct, intacct, intact, university, interface feel, unintuitive, learning curve, new users, curve"
7,395,7_learning_curve_learning curve_learn,"learning, curve, learning curve, learn, training, steep, beginners, videos, learn use, hard learn"
8,391,8_customer service_chat_service_customer,"customer service, chat, service, customer, customer support, support, phone, reach, response, ticket"
9,333,9_acumatica_initial setup_initial_setup,"acumatica, initial setup, initial, setup, aia, setup wasn, equipment, document, partners, growing"
10,274,10_qb_qbo_desktop_accountant,"qb, qbo, desktop, accountant, intuit, online, years, clients, class, inventory"
11,236,11_inventory_inventory management_manufacturing_implementation,"inventory, inventory management, manufacturing, implementation, management, project management, stock, shipping, orders, inventory control"
12,176,12_updates_update_error_glitches,"updates, update, error, glitches, errors, new updates, frequent, glitchy, occur, fix"
13,136,13_search_searches_saved_saved searches,"search, searches, saved, saved searches, saved search, search bar, word, bar, search feature, fields"
14,107,14_integration_integrations_party applications_party,"integration, integrations, party applications, party, applications, integrating, integration party, party tools, party software, external"
15,99,15_far_moment_works_great product,"far, moment, works, great product, really good, going, enjoy, good, perfect, perfectly"
16,93,16_downsides_downside_disadvantages_human,"downsides, downside, disadvantages, human, haven, pricing high, disadvantage, drawbacks, major, discover"
17,93,17_dynamics_365_business central_microsoft,"dynamics, 365, business central, microsoft, central, gp, ms, business, finances, disadvantages"
18,92,18_multi user_chart_user mode_chart accounts,"multi user, chart, user mode, chart accounts, accounts, multi, mode, multiple users, single user, log"
19,91,19_dashboard_dashboards_charts_dynamic,"dashboard, dashboards, charts, dynamic, summary, graphs, pages, like sales, homepage, whistles"
20,88,20_complaints_far_don issues_complain,"complaints, far, don issues, complain, haven, far complaints, haven experienced, issues using, meets, concerns"
21,76,21_generic_tables_gi_table,"generic, tables, gi, table, inquiry, sql, pull data, queries, database, generic inquiry"
22,71,22_help section_help_section_answers,"help section, help, section, answers, questions, articles, answer, information looking, help articles, solving"
23,66,23_password_log_authentication_login,"password, log, authentication, login, logs, logged, logging, factor, time log, sessions"
24,64,24_currency_currencies_multi currency_multi,"currency, currencies, multi currency, multi, multicurrency, usd, rates, intercompany, consolidate, consolidation"
25,63,25_upgrade_upgrades_yearly_upgrade process,"upgrade, upgrades, yearly, upgrade process, cycle, release, year, testing, old version, version"
26,54,26_set_difficult set_setup_little complicated,"set, difficult set, setup, little complicated, setup process, initial setup, smooth sailing, setup time, sailing, onboarding"
27,50,27_modules_bundle_certain modules_additional modules,"modules, bundle, certain modules, additional modules, add modules, module, incomplete, add ons, ons, additional"
28,47,28_intacct_schedules_synced_possibility,"intacct, schedules, synced, possibility, till, technical issues, giving, vendor, input, consolidation"
29,42,29_crm_marketing_leads_hand,"crm, marketing, leads, hand, seamless, nearly impossible, issues don, issues having, asset register, customer data"
30,41,30_security_permission_rights_permissions,"security, permission, rights, permissions, user permissions, roles, needs better, sets, object, broad"
31,41,31_subscription_plan_ads_subscriptions,"subscription, plan, ads, subscriptions, subscription based, pricing model, subscription fees, subscription costs, monthly, free"
32,41,32_ai_ai features_help center_reviews,"ai, ai features, help center, reviews, automate, automation, pretty great, hasn worked, accurate, added"
33,38,33_journal_journal entries_entries_journals,"journal, journal entries, entries, journals, journal entry, postings, entry, posted, posting, bit complicated"
34,37,34_var_rocky_reseller_acumatica,"var, rocky, reseller, acumatica, understood, decisions, relationship, wasn, eventually, quicker"
35,37,35_workday_financial management_certain processes_financial,"workday, financial management, certain processes, financial, simplifying, aid, management, vague, search functionality, relying"
36,36,36_license_licenses_licensing_model,"license, licenses, licensing, model, party tools, premise, essential, affordable, necessity, covers"
37,35,37_time tracking_time entry_25_hours,"time tracking, time entry, 25, hours, mobile app, history, comments, tracking, submit, app"
38,34,38_mobile_mobile app_app_cell,"mobile, mobile app, app, cell, app use, web, phone, apps, device, great like"
39,33,39_fixed asset_asset module_asset_fixed,"fixed asset, asset module, asset, fixed, fixed assets, prepaid, module, assets, asset management, assets module"
40,31,40_approval_approvals_approved_completing,"approval, approvals, approved, completing, audit, notification, pending, features intuitive, think user, options bit"
41,31,41_backup_backups_drive_file,"backup, backups, drive, file, copy, wish easier, computer, files, updated, save"
42,27,42_features add_features_features intuitive_scary,"features add, features, features intuitive, scary, layer, best option, aggressive, impacts, requisitions, packing"
43,25,43_csv_import_imports_importing,"csv, import, imports, importing, loaded, addressing, extremely helpful, party integration, file, ns"
44,25,44_uk_country_terminology_countries,"uk, country, terminology, countries, english, centric, patch, american, wish option, work better"
45,25,45_syncing_sync_platforms_manual,"syncing, sync, platforms, manual, synchronization, simultaneously, need buy, use integration, manual workarounds, changes need"
46,24,46_audit_trail_audit trail_editable,"audit, trail, audit trail, editable, changed, think improve, areas like, change, tag, granularity"
47,24,47_purchase order_orders_sales order_purchase,"purchase order, orders, sales order, purchase, purchase orders, order, sales orders, sales, drive, purchases"
48,23,48_credit card_bulk_card_credit,"credit card, bulk, card, credit, paid, transactions, vendor names, module doesn, add feature, like pay"
49,22,49_budget_budgeting_budgets_compare,"budget, budgeting, budgets, compare, manager, work arounds, arounds, percentage, does support, planning"
50,20,50_head_comes mind_think_moment,"head, comes mind, think, moment, mind, think better, currently, expectations, really think, met"
51,20,51_steps complete_steps_step_actions,"steps complete, steps, step, actions, end users, difficult build, safety, execute, finish, ways things"
52,20,52_wms_robust_intelligent_plugin,"wms, robust, intelligent, plugin, box, process like, sucks, robust features, slips, par"
53,19,53_windows_open_window_tab,"windows, open, window, tab, like desktop, tabs, open time, like multiple, multiple, browser"
54,18,54_printing_print_bc_checks,"printing, print, bc, checks, installed, documents, nav, 18, reprint, certain screens"
55,18,55_consolidation_entity_entities_consolidate,"consolidation, entity, entities, consolidate, large volumes, multi entity, multiple entities, structures, volumes, intercompany"
56,18,56_save_saving_avoid_auto,"save, saving, avoid, auto, module does, upper, truth, using application, repeatedly, lose"
57,18,57_shortcuts_keys_short_cut,"shortcuts, keys, short, cut, work use, highlighted, features use, enables, filled, immediate"
58,17,58_1099_inactive_year_produce,"1099, inactive, year, produce, needed help, tired, tremendous, disruptions, including, giant"
59,17,59_ar_ap_ap ar_ap module,"ar, ap, ap ar, ap module, refund, module doesn, compared systems, low code, customers vendors, answered"
60,16,60_field service_field_calendar_board,"field service, field, calendar, board, service, module, team members, members, module needs, services"
61,16,61_workflow_workflows_complex use_partner support,"workflow, workflows, complex use, partner support, enhancing, user adoption, hard set, feel unintuitive, workflows require, users certain"
62,16,62_mac_windows_pc_apple,"mac, windows, pc, apple, os, devices, style, outlook, compatible, version"
