macro_group,group_label,group_description,n_topics,total_docs,top_keywords,pct_docs
core_financial_accounting,Core Financial & Accounting,"Fundamental accounting functions including AP/AR, bank reconciliation, invoicing, journal entries, and expense management.",8,4471,"accounting, sales, sales order, order, p | bank, accounting, invoices, invoicing, f | accounts, ledger, accounting, general, g",33.4
user_experience_usability,User Experience & System Usability,"User interface design, ease of use, navigation, learning curve, and overall user experience.",7,2587,"appreciate, initial, initial setup, setu | accounting, accountant, simple, learn, e | navigate, easy navigate, navigation, use",19.3
inventory_supply_chain,Inventory & Supply Chain Management,"Inventory management, supply chain operations, and related business process automation.",3,1353,"needs, appreciate, workflows, operations | processes, automation, automate, manual, | management, erps, integrated, systems, m",10.1
system_integration_apis,System Integration & APIs,"Integration capabilities with third-party systems, APIs, and data import/export functionality.",6,1068,"platforms, products, implementation, mul | programming interface, programming, inte | salesforce, force, integration salesforc",8.0
sales_order_management,Sales & Order Management,"Sales order processing, purchase order management, and order-to-cash workflow capabilities.",4,777,"sales order, order, sales, order easy, o | university, navigate, sales order, help, | years, order, payroll, used, sales order",5.8
financial_reporting_analytics,Financial Reporting & Business Intelligence,"Financial reporting capabilities, dashboards, KPIs, business intelligence tools, and centralized data management for decision-making.",6,748,"customize, customize reports, report, cu | dashboards, dashboard, reports dashboard | addition, financial, management, finance",5.6
advanced_analytics_ai,Advanced Analytics & AI,"Real-time analytics, in-memory processing, machine learning, and artificial intelligence capabilities.",4,578,"analytics, real time, real, memory, proc | real time, real, analytics, time data, h | speed, slice dice, dice, machine learnin",4.3
payroll_hr_management,Payroll & HR Management,"Payroll processing, tax calculations, employee management, and time tracking functionality.",4,376,"accounting, payroll, inventory, accounti | payroll, taxes, employees, employee, tax | financial management, financial, managem",2.8
system_architecture_customization,System Architecture & Customization,"Modular architecture, customization capabilities, and system configuration flexibility.",3,359,"customize, customization, needs, ability | modules, different modules, user interfa | development, module, modules, box, marke",2.7
system_administration_governance,System Administration & Governance,"Security controls, user management, multi-entity operations, audit trails, and compliance features.",3,309,"based, like based, updates, base, based  | transactions, trail, audit, audit trail, | suite, enterprise, net, entities, multip",2.3
small_business_focus,Small Business Suitability,Features and capabilities specifically designed for small and medium-sized businesses.,2,244,"small, small business, businesses, small | accounting, accountant, bank, businesses",1.8
implementation_support,Implementation & Customer Support,"Implementation process, customer support quality, help documentation, and user assistance.",3,243,"customer support, customer service, serv | help, answers, page, questions, communit | customer support, implemented, daily, us",1.8
mobile_web_access,Mobile & Web Access,"Web-based access, mobile device compatibility, and remote work capabilities.",2,170,"internet, log, phone, computer, device,  | computer, login, able access, device, ho",1.3
product_evolution,Product Evolution & Updates,"Software updates, version management, continuous innovation, and product development.",2,101,"constantly, innovation, year, technology | version, use version, version allows, bu",0.8
