macro_group,group_label,group_description,n_topics,total_docs,top_keywords,pct_docs
financial_accounting_core,Financial Accounting & General Ledger,"Core accounting functionality including general ledger management, chart of accounts, basic financial transaction processing, and fundamental accounting reliability issues.",6,2065,"version, accounting, enterprise, access, | accounting, financial, reporting, accoun | ledger, general ledger, general, transac",16.5
implementation_complexity,"Implementation, Setup & Cost Management","ERP implementation challenges, initial setup complexity, configuration difficulties, deployment issues, infrastructure concerns, and pricing considerations.",8,1843,"support, implementation, team, searches, | cost, high, expensive, price, small, pri | initial setup, initial, setup, warehouse",14.7
financial_reporting_analytics,Financial Reporting & Business Intelligence,"Report generation, business intelligence dashboards, custom reporting tools, and data visualization capabilities.",4,1186,"reports, reporting, report, custom, exce | dashboard, dashboards, interface, user i | fields, field, data, custom, reports, re",9.5
customer_support_service,Customer Support & Service Quality,"Customer support responsiveness, service quality, and technical assistance effectiveness.",3,1109,"support, customer, service, pay, price,  | support, customer, customer service, hel | financial, services, meets, customer sup",8.9
accounts_payable_invoice_processing,Accounts Payable & Invoice Processing,"Invoice management, vendor payments, purchase order processing, and expense management workflows.",3,1088,"invoice, invoices, purchase order, purch | invoice, edit, invoices, credit, payment | expenses, categories, expense, category,",8.7
user_training_learning,User Training & Learning Curve,"Training adequacy, documentation quality, learning curve difficulty, and user onboarding challenges.",3,856,"learning, curve, learning curve, learn,  | learning, learning curve, curve, feel, a | training, learn, videos, training videos",6.8
system_performance_reliability,System Performance & Reliability,"System speed, performance issues, software stability, updates, technical reliability concerns, and automation feature reliability.",4,851,"slow, times, load, performance, takes, d | updates, update, upgrade, upgrades, vers | ai features, automation, automate, advan",6.8
user_interface_navigation,User Interface & System Navigation,"User interface design, navigation difficulties, search functionality, and overall system usability issues.",4,741,"navigate, hard, confusing, times, intuit | interface, user interface, outdated, use | search, searches, saved, searching, save",5.9
customization_integration,Customization & Third-Party Integration,"System customization capabilities, API functionality, and integration with external systems and vendors.",2,615,"customization, customizations, customize | integration, programming interface, prog",4.9
banking_cash_management,Banking & Cash Management,"Bank reconciliation, bank feed integration, cash management, and banking feature functionality.",2,602,"bank, businesses, accounting, advanced,  | bank, feeds, bank feeds, reconciliation,",4.8
specialized_modules,Specialized Module Functionality,"Specialized business modules including inventory management, payroll processing, fixed asset management, field service operations, and data management controls.",5,530,"inventory, warehouse, management, wareho | payroll, payroll module, taxes, states,  | fixed, asset, fixed asset, asset module,",4.2
multi_entity_currency,Multi-Entity & Currency Management,"Multi-company consolidation, currency management, international operations, and cross-entity transaction handling.",2,285,"companies, multiple, company, consolidat | currency, multi currency, currencies, mu",2.3
system_access_security,System Access & Security Management,"User access controls, permission management, audit logging, and system security functionality.",2,215,"log, login, user mode, mode, logs, singl | permission, permissions, access, securit",1.7
mobile_remote_access,Mobile & Remote Access,"Mobile application functionality, remote access capabilities, and cross-platform compatibility.",2,195,"version, mobile, app, mobile app, web, a | accessed, access, remote, based, order a",1.6
sales_order_management,Sales Order Management,"Sales order processing, order management workflows, and sales module functionality.",2,179,"order far, far, far don, like sales, hap | far, new sales, order far, offers, purpo",1.4
crm_customer_management,CRM & Customer Relationship Management,"Customer relationship management functionality, CRM module integration, and customer data management.",2,142,"business, products, management, gets, fi | relationship management, customer relati",1.1
