review_id,product_id,product_name,reviewer_company_size,source_platform,review_date,overall_rating,topic_id,probability,text_field,text,macro_group,group_label
5290505,ACU-ERP-001,Acumatica,mid-market,g2,2026-01-27T00:32:16.415-06:00,4.5,4,0.5722,recommendations,"Acumatica is our source of truth for financial transactions and CRM. It solves transparency issues, allowing everything we need to be accessible if you know where to navigate. Enhanced Financial Transparency with Usability, But Needs",project_budgeting,Project & Budgeting
1662435,ACU-ERP-001,Acumatica,small-business,g2,2026-01-26T23:38:32.665-06:00,4.5,4,1.0,recommendations,"I use Acumatica for inventory control, accounts payable and receivable, and purchasing. It's an all-in-one software giving me visibility into sales orders, purchase orders, and inventory simultaneously. Comprehensive Solution Raising",project_budgeting,Project & Budgeting
4874707,ACU-ERP-001,Acumatica,mid-market,g2,2025-01-28T01:26:53.121-06:00,4.5,4,0.1101,recommendations,"Our biggest issue was a defragmented database. We partnered Acumatica with WorkforceGo, which helps bring HR, payroll, and financials all into one ERP.",project_budgeting,Project & Budgeting
2742847,ACU-ERP-001,Acumatica,mid-market,g2,2025-01-28T20:28:04.006-06:00,4.5,2,0.051,recommendations,"The ability to more efficiently build reporting data and displaying it multiple ways is an annual improvement. We now are getting powerful reports for all departments and uncovering inefficiencies in labor, inventory, and data entry at a glance on manager dashboards. Great Product - Ever evolving -",accounting_bookkeeping,Accounting & Bookkeeping
4341023,ACU-ERP-001,Acumatica,small-business,g2,2025-01-28T03:48:10.035-06:00,4.5,5,1.0,recommendations,We are in the process of implementing the construction module and currently learning field reporting. This will help us keep track of our labor costs a little easier.,other,Other
4414288,ACU-ERP-001,Acumatica,small-business,g2,2024-07-08T06:56:11.035-05:00,4.5,10,0.1627,recommendations,"We are seeing benefits in almost every aspect of our business including reductions of inventory on-hand, improved cash collections, data entry processing time, IT cost savings, and my personal favorite A 75% REDUCTION IN PAPER USAGE. The Cloud Was A",other,Other
4126624,ACU-ERP-001,Acumatica,enterprise,g2,2025-01-28T00:26:41.058-06:00,4.0,9,0.2141,recommendations,Consolidating all of our legacy systems through acquisitions into one single system. Now we are on a single chart of accounts which has vastly improved our accounting and reporting needs. Financial,invoicing_payments,Invoicing & Payments
1660869,ACU-ERP-001,Acumatica,mid-market,g2,2025-01-28T01:35:58.112-06:00,4.5,11,0.1569,recommendations,Communication among all team members in the company and making things easier. Ease of use,noise,Noise / Filler
4877726,ACU-ERP-001,Acumatica,mid-market,g2,2024-01-30T00:38:48.705-06:00,5.0,4,0.593,recommendations,We are a complex corporate structure with multiple separate companies that interact regularly. Acumatica helps us to create intercompany accounting processes that were incredibly cumbersome and frustrating in multiple Quickbooks files. We are also in the process of replacing our CRM company with Acumatica. Ex- Quickbook,project_budgeting,Project & Budgeting
3023450,ACU-ERP-001,Acumatica,small-business,g2,2024-01-31T23:55:24.624-06:00,5.0,4,1.0,recommendations,"Our legacy system has worked well for a long time, and modern enhancements layered on top have helped with the longevity of the software. However, the aging architecture and the base platform have not kept pace with modern technology. Acumatica allows us to build our proprietary add-ons atop a solid platform with modern technology and tools. Many custom enhancements for us on our legacy system are made into",project_budgeting,Project & Budgeting
4907035,ACU-ERP-001,Acumatica,mid-market,g2,2024-01-30T02:28:11.592-06:00,4.5,0,0.1462,recommendations,We are combining our different divisions under one accounting system reducing the need to maintain multiple programs and databases. We will find synergies in this combination. Modern Accounting,payroll_hr,Payroll & HR
5332817,ACU-ERP-001,Acumatica,small-business,g2,2024-01-30T03:32:11.824-06:00,5.0,6,0.1767,recommendations,"We reduced the number of manual entries required and streamlined processes in sales, accounting, and inventory management. Our accounting department has been transformed and offers much better visibility. Exactly",inventory_orders,Inventory & Orders
4610198,ACU-ERP-001,Acumatica,mid-market,g2,2024-01-31T01:42:05.954-06:00,5.0,4,0.4615,recommendations,Acumatica can handle a large amount of transactions and employees all working at once without significant slow downs. We are saving a lot of time that was spent waiting on other users in our legacy system.,project_budgeting,Project & Budgeting
4076599,ACU-ERP-001,Acumatica,mid-market,g2,2024-01-30T03:24:36.303-06:00,5.0,4,0.6563,recommendations,"We are solving many problems with Acumatica, speed of quoting is probably the most important.",project_budgeting,Project & Budgeting
4923720,ACU-ERP-001,Acumatica,small-business,g2,2023-01-31T05:37:20.281-06:00,5.0,4,1.0,recommendations,We have been able to solve the inefficiency of our team's time wasted on our ERP software. Acumatica G2,project_budgeting,Project & Budgeting
4388804,ACU-ERP-001,Acumatica,small-business,g2,2022-10-03T06:16:31.047-05:00,4.5,2,0.317,recommendations,"One source of data and one system for all departments. Financial reporting - more accurate, proper deferred revenue posting, combined entity reporting.",accounting_bookkeeping,Accounting & Bookkeeping
5407712,ACU-ERP-001,Acumatica,mid-market,g2,2022-03-08T20:06:07.605-06:00,5.0,5,0.1741,recommendations,We use the project module to track a variety of grants we receive. The ability to create setup templates and bill either by progress billing or time & materials is time-saving while improving accuracy in the process. We are also able to track our general operations down to the subaccount level without too much of a burden on daily transactions. This lets us turn around financial statements quicker at segment and subaccount levels. Information and,other,Other
6699700,ACU-ERP-001,Acumatica,mid-market,g2,2022-06-03T09:43:36.441-05:00,4.5,14,1.0,recommendations,We eliminated an obsolete accounting system and a problem for which we had tried numerous ineffective remedies. This,noise,Noise / Filler
170310,ACU-ERP-001,Acumatica,small-business,g2,2022-01-27T00:34:37.541-06:00,4.0,6,0.014,recommendations,"Running my company's Finance administration (GL, Cash mgt, AP, AR), the CRM, the Sales Management (sales orders, shipments, invoicing), Purchasing, inventory, tax mgt, project mgt, Fixed asset management, eCommerce, customer and vendor portal, and production management. The benefits are as follows: . I can now really master the cash flow situation of my company, and if there are problems, I can spot them ahead and identify them at the level needed. I avoid the typical cash shortage crises when payroll is due. . I avoid overstocking and understocking items . I can now easily do a break-even cost analysis so that when I need to decide to hire more people, I can find out from my break-even cost analysis how much more sales I need to generate. , The customer and vendor portals enable my company to interact with my customers and vendors on a daily basis. This avoids so much miscommunication, misunderstanding and dragging support issues. This empowers and engages my customers and vendors. Embedding Sharepoint sites helps us a lot. Acumatica",inventory_orders,Inventory & Orders
4924753,ACU-ERP-001,Acumatica,mid-market,g2,2022-09-19T15:03:08.982-05:00,4.5,6,0.0924,recommendations,"Inventory management, production, reporting, data visualization through odata/powerBI",inventory_orders,Inventory & Orders
5291533,ACU-ERP-001,Acumatica,enterprise,g2,2022-01-24T20:05:18.317-06:00,4.5,4,0.5742,recommendations,Acumatica has helped modernize our ERP environment. This step will help us take our company to the next level by replacing our legacy ERP.,project_budgeting,Project & Budgeting
5384453,ACU-ERP-001,Acumatica,mid-market,g2,2022-02-28T20:06:00.551-06:00,5.0,4,0.3827,recommendations,"As a professional services company, we leverage Acumatica to handle our vast and complicated time & billing system",project_budgeting,Project & Budgeting
5275439,ACU-ERP-001,Acumatica,mid-market,g2,2022-01-19T04:40:04.011-06:00,5.0,4,0.5418,recommendations,"We love the ability to get out our data - to access tables and create generic inquiries that allow us to truly understand our business and create processes and tools to make it as efficient as possible. Acumatica as a Robust, Dynamic",project_budgeting,Project & Budgeting
5320382,ACU-ERP-001,Acumatica,mid-market,g2,2022-02-04T20:05:58.075-06:00,5.0,4,0.4087,recommendations,Acumatica has forced us to use proper business processes in our company i find,project_budgeting,Project & Budgeting
4388851,ACU-ERP-001,Acumatica,small-business,g2,2021-07-19T16:14:13.692-05:00,5.0,20,0.0462,recommendations,"Getting folks on the same system. Connecting business processes that are typically manual, dis-jointed. Doing the unimaginable. Eliminating excuses of not having actionable data and insights - because it's all there. Both Company and",automation_workflow,Automation & Workflow
5384111,ACU-ERP-001,Acumatica,enterprise,g2,2022-03-01T21:26:34.262-06:00,5.0,6,0.0973,recommendations,The transparency of seeing if someone is following process Total,inventory_orders,Inventory & Orders
2194078,ACU-ERP-001,Acumatica,small-business,g2,2021-06-02T08:11:48.325-05:00,5.0,4,0.2355,recommendations,"We did not have any problems to solve in regards to the why we switched software, it was a benefits issue from the get go. The version of Acumatica that we purchased is a cloud based system which allows all of my people to be able to work from home or while away on business (yes we could do it before but we had to log into the office server, this is a lot easier). The additional benefits we have gained are numerous; Speed in processing our outgoing shipment was vital and with a click of the mouse we can have a batch of 20 or 30 or 100 ordered processed in the time it took us to do 2 with our old system. The search functions are great and not hard to understand and use. Having integrated email has saved us tons of time and allows us all to be able to see what has been sent to a customer when dealing with quotes or question.",project_budgeting,Project & Budgeting
4388726,ACU-ERP-001,Acumatica,mid-market,g2,2022-01-25T02:09:55.370-06:00,4.5,11,1.0,recommendations,We are using to improve internal Productivity,noise,Noise / Filler
5334072,ACU-ERP-001,Acumatica,mid-market,g2,2022-02-13T23:20:51.000-06:00,4.0,16,0.1136,recommendations,We are solving not having two ERP Systems.,multi_entity,Multi-Entity & Consolidation
4907153,ACU-ERP-001,Acumatica,mid-market,g2,2021-08-04T09:36:30.392-05:00,5.0,5,0.0148,recommendations,"Visualize our accounting data in a way that the business requires, not just in a generic, cookie-cutter way. Construction still in",other,Other
4595467,ACU-ERP-001,Acumatica,small-business,g2,2021-09-22T12:19:23.203-05:00,5.0,4,0.6061,recommendations,Using one system for all our company's needs Acumatica for,project_budgeting,Project & Budgeting
5023537,ACU-ERP-001,Acumatica,small-business,g2,2021-09-27T17:27:57.972-05:00,4.5,4,0.4189,recommendations,better management of inventory Acumatica,project_budgeting,Project & Budgeting
4924965,ACU-ERP-001,Acumatica,mid-market,g2,2021-10-18T16:50:45.381-05:00,3.0,11,0.2096,recommendations,It should save alot of time for employees once we can get it running.,noise,Noise / Filler
4609281,ACU-ERP-001,Acumatica,mid-market,g2,2021-02-19T15:00:49.505-06:00,4.5,4,0.4721,recommendations,"Acumatica has helped us have more visibility into our processes and transactions. It is very easy to use and has tons of out-of-the-box features that we love. It's also very customizable and the general inquiry screens are amazing. The ability to set up new reports and general inquiry screens has been incredibly useful and so far we are extremely pleased with the system. We also really appreciate the help menu and how detailed each of the user guides are - it makes answering our own questions and understanding the system and processes that much easier. We are looking forward to a long, happy, relationship with Acumatica. Modern Layout, User Friendly,",project_budgeting,Project & Budgeting
4609394,ACU-ERP-001,Acumatica,mid-market,g2,2021-02-19T15:00:56.017-06:00,5.0,4,1.0,recommendations,"We have solved many issues specific to our business. Splitting inventory between our direct sales, whole sales, online sales and fba sales would be difficult if not impossible without Acumatica. Great",project_budgeting,Project & Budgeting
4596252,ACU-ERP-001,Acumatica,small-business,g2,2021-02-16T17:41:17.893-06:00,5.0,4,1.0,recommendations,"The first demo I watched was for field service, something near and dear to my heart, and which I always felt was a compromise with Sage. Sure there was a very strong ISV that was 100% focused on the vertical, but it was still another product and development and therefore releases were not always available when customers were ready for or needed to upgrade. Acumatica eliminated those problems for me and I can be assured that the Acumatica service edition, certainly on par with the dedicated ISV solution would work with the core ERP and would not leave me scrambling and coordinating with vendors around the globe.",project_budgeting,Project & Budgeting
4873540,ACU-ERP-001,Acumatica,mid-market,g2,2021-07-23T01:04:43.864-05:00,4.5,4,0.6275,recommendations,"By providing a centralized location to perform all of a business's needs, it makes it simple to give data to get feedback and improve upon the human aspect of a business. Acumatica is the future of",project_budgeting,Project & Budgeting
486385,ACU-ERP-001,Acumatica,mid-market,g2,2021-07-24T17:14:28.928-05:00,5.0,7,1.0,recommendations,It has dramatically improved the daily flow of a high transaction environment while providing transparency to all levels of our organization that they have not had before.,noise,Noise / Filler
4082485,ACU-ERP-001,Acumatica,mid-market,g2,2021-08-05T05:33:49.675-05:00,4.5,2,1.0,recommendations,I have been able to program reporting effectively using the tutorials.,accounting_bookkeeping,Accounting & Bookkeeping
4877828,ACU-ERP-001,Acumatica,mid-market,g2,2021-07-26T07:30:11.366-05:00,3.0,11,1.0,recommendations,"The benefits of it are having all of the facets of our business in one place, to a certain extent; i.e. accounting, marketing, HR, project management.",noise,Noise / Filler
4388765,ACU-ERP-001,Acumatica,small-business,g2,2021-08-05T05:20:42.799-05:00,4.0,4,0.3811,recommendations,Acumatica runs most of the operations at the company with the help of Descarte Systems with Ozlink for handheld scanner and shipping interface in the warehouse. We are on 2019 R1 and have to look into upgrading to a more recent release.,project_budgeting,Project & Budgeting
4874612,ACU-ERP-001,Acumatica,small-business,g2,2021-07-19T16:43:17.349-05:00,4.0,11,0.0799,recommendations,Time / double entry; automating our support case system has made customer service much more efficient.,noise,Noise / Filler
4874252,ACU-ERP-001,Acumatica,small-business,g2,2021-07-19T16:42:37.302-05:00,4.0,7,0.1449,recommendations,"It really hosts a ton of tasks like invoicing and project information to product and ship dates, customer information and e-mails, etc. It's very nice that you can be mobil and still do your job.",noise,Noise / Filler
4879724,ACU-ERP-001,Acumatica,mid-market,g2,2021-07-21T14:46:16.929-05:00,5.0,0,0.177,recommendations,Financials and AR all in one place to help us collect & also take care of our customers faster.,payroll_hr,Payroll & HR
4390353,ACU-ERP-001,Acumatica,small-business,g2,2021-07-26T09:18:51.370-05:00,5.0,0,0.1595,recommendations,I use CRM and AP a lot. It makes being able to track sales calls and opportunities a lot better. Its very easy to create invoices etc. I use,payroll_hr,Payroll & HR
