topic_id,doc_count,topic_name,top_keywords,is_noise
-1,3877,-1_sure_good_ability_payroll,outlier — no coherent topic,True
0,1942,0_online_desktop_pro_desktop pro,"online, desktop, pro, desktop pro, quick books, small, enterprise, use online, recommend, books",False
1,889,1_customizable_manufacturing_construction_highly customizable,"customizable, manufacturing, construction, highly customizable, project, room, inventory, inquiries, streamlined, production",False
2,875,2_orders_searches_systems_workflows,"orders, searches, systems, workflows, inventory, operations, powerful, subsidiaries, saved searches, visibility",False
3,800,3_entity_multi entity_multi_ap,"entity, multi entity, multi, ap, entities, entries, helping, month end, consolidations, automates",False
4,796,4_cash flow_reconciliation_invoicing_bank reconciliation,"cash flow, reconciliation, invoicing, bank reconciliation, effortless, bank, flow, cash, finances, bookkeeping",False
5,436,5_4hana_4hana cloud_cloud_analytics,"4hana, 4hana cloud, cloud, analytics, business processes, time analytics, time insights, real time, decision making, real",False
6,313,6_desktop_online_qbd_unless,"desktop, online, qbd, unless, don, bookkeeping, reason, pro, accountant, expect",False
7,304,7_inventory_inventory management_order_orders,"inventory, inventory management, order, orders, inventory control, order fulfillment, production, tracking inventory, inventory tracking, manufacturing",False
8,275,8_invoices_invoice_invoicing_sales invoices,"invoices, invoice, invoicing, sales invoices, processing invoices, payments, estimates, bills invoices, customer invoices, sending",False
9,258,9_bank_journal_reconciliation_journal entries,"bank, journal, reconciliation, journal entries, reconciliations, transactions, banking, bank accounts, bank statements, entries",False
10,239,10_erps_manufacturing_upgrading_company good,"erps, manufacturing, upgrading, company good, true, hardware, moving, p2p, systems, implementation",False
11,233,11_365_business central_central_power bi,"365, business central, central, power bi, bi, power, outlook, productivity, finance sales, functions",False
12,198,12_reports_report_reports needed_easy generate,"reports, report, reports needed, easy generate, reporting, generate, customized, fast reporting, sql, generate reports",False
13,165,13_books_bookkeeping_book_bookkeeper,"books, bookkeeping, book, bookkeeper, book keeping, bookkeeping needs, books month, bookkeeping easier, maintaining books, accounting books",False
14,110,14_automation_manual processes_automation processes_processes,"automation, manual processes, automation processes, processes, ai, efficiency automation, automation integration, automating, automations, tasks automation",False
15,103,15_ap_ar_ap automation_ar ap,"ap, ar, ap automation, ar ap, ap ar, automation, ap process, ap bills, gl, billing ar",False
16,88,16_expenses_income_expenses income_track expenses,"expenses, income, expenses income, track expenses, donations, keeping track, expenses easy, tracking expenses, business expenses, expense",False
17,85,17_small_small business_small businesses_good small,"small, small business, small businesses, good small, businesses, great small, sized, business small, medium size, medium",False
18,79,18_synced_multiple entities_vendor_entities,"synced, multiple entities, vendor, entities, avoided, format helps, playing, applied, extracting, customers using",False
