product_name,topic_id,doc_count,label,top_keywords
Acumatica,8,333,initial setup | initial | setup,"initial setup, initial, setup, warehouse, partner, management, implementation, wasn, team, items"
Acumatica,0,124,invoice | invoices | purchase order,"invoice, invoices, purchase order, purchase, vendor, payment, customer, orders, payments, paid"
Acumatica,7,101,customization | customizations | customize,"customization, customizations, customize, party, require, customisation, customizable, business, options, limited"
Acumatica,13,97,inventory | warehouse | management,"inventory, warehouse, management, warehouse management, planning, inventory management, material, stock, manufacturing, material requirements"
Acumatica,2,85,reports | reporting | report,"reports, reporting, report, custom, excel, custom reports, building, data, export, create"
Acumatica,16,76,dashboard | dashboards | interface,"dashboard, dashboards, interface, user interface, data, reports, intuitive, feel, tools, charts"
Acumatica,5,55,slow | times | load,"slow, times, load, performance, takes, data, bit slow, error, loading, lag"
Acumatica,3,51,accounting | financial | reporting,"accounting, financial, reporting, accounts, reports, accountant, cash, finance, payable, balance"
Acumatica,23,50,learning | curve | learning curve,"learning, curve, learning curve, learn, steep, steep learning, complex, takes, took, understand"
Acumatica,6,45,support | customer | service,"support, customer, service, pay, price, customer service, years, payroll, year, hours"
Acumatica,27,40,updates | update | upgrade,"updates, update, upgrade, upgrades, version, bugs, changes, updated, year, constant"
Acumatica,40,36,training | learn | videos,"training, learn, videos, training videos, learning, proper training, tutorials, learn use, train, trainings"
Acumatica,41,36,interface | user interface | outdated,"interface, user interface, outdated, user experience, user friendly, interface user, improved, friendly, design, old"
Acumatica,20,35,navigate | hard | confusing,"navigate, hard, confusing, times, intuitive, information, certain, difficult navigate, finding, hard navigate"
Acumatica,21,32,say | comments | till,"say, comments, till, don like, dont, currently, say don, don really, like really, isn really"
Acumatica,4,30,support | customer | customer service,"support, customer, customer service, help, service, customer support, phone, questions, helpful, issue"
Acumatica,42,29,integration | programming interface | programming,"integration, programming interface, programming, interface, integrations, party, integrate, code, lack, poor"
Acumatica,52,29,initial | rocky | initial setup,"initial, rocky, initial setup, decisions, setup, setup easy, lack, follow, release"
Acumatica,17,28,easy use | say | encountered,"easy use, say, encountered, major, problems, friendly, real, user friendly, happy, did"
Acumatica,19,27,love | using years | till,"love, using years, till, actually, perfect, enjoy, market, meets, soon, specific"
Acumatica,9,25,systems | complex | implementation,"systems, complex, implementation, integration, learning, learning curve, curve, complexity, compared, customization"
Acumatica,12,25,order far | far | far don,"order far, far, far don, like sales, happy, order sales, early, just sales, using sales, encountered"
Acumatica,43,25,payroll | payroll module | taxes,"payroll, payroll module, taxes, states, employees, pay, tax, feature, module"
Acumatica,56,24,implementation | implementation process | implement,"implementation, implementation process, implement, long, complexity, development, initial implementation, complex, initial, roadmap"
Acumatica,29,21,ledger | general ledger | general,"ledger, general ledger, general, transactions, transaction, account, accounts, ledger account, report, entries"
Acumatica,32,19,based | data | internet,"based, data, internet, version, storage, connection, file, backup, premise, backups"
Acumatica,28,18,version | mobile | app,"version, mobile, app, mobile app, web, available, functionality, friendly, mac, computer"
Acumatica,44,18,fields | field | data,"fields, field, data, custom, reports, report, names, search, custom fields, example"
Acumatica,46,18,relationship management | customer relationship | relationship,"relationship management, customer relationship, relationship, management, customer, marketing, management module, integration, like customer"
Acumatica,38,16,permission | permissions | access,"permission, permissions, access, security, roles, sets, control, internal control, user permissions, passwords"
Acumatica,11,13,cost | high | expensive,"cost, high, expensive, price, small, pricing, costs, higher, businesses, cost high"
Acumatica,33,13,companies | multiple | company,"companies, multiple, company, consolidation, entity, entities, multiple companies, multiple entities, consolidate, accounts"
Acumatica,37,13,journal | entries | journal entries,"journal, entries, journal entries, entry, page, journal entry, save, button, click, posting"
Acumatica,24,12,bank | feeds | bank feeds,"bank, feeds, bank feeds, reconciliation, bank reconciliation, transactions, accounts, account, bank account, reconcile"
Acumatica,39,12,fixed | asset | fixed asset,"fixed, asset, fixed asset, asset module, module, fixed assets, assets, assets module, modules, rest"
Acumatica,47,12,invoice | edit | invoices,"invoice, edit, invoices, credit, payment, transactions, date, payable, check, paid"
Acumatica,57,11,modules | module | different modules,"modules, module, different modules, different, modules need, incomplete, field service, bugs, separately, missing"
Acumatica,48,10,windows | open | window,"windows, open, window, screen, tab, new tab, tabs, multiple, screens, different"
Acumatica,26,8,currency | multi currency | currencies,"currency, multi currency, currencies, multi, foreign, usd, tax, countries, multicurrency, vendor"
Acumatica,53,8,expenses | categories | expense,"expenses, categories, expense, category, bills, charges, budget, paying, auto, section"
Acumatica,31,7,log | login | user mode,"log, login, user mode, mode, logs, single user, logged, single, password, multi user"
Acumatica,34,6,search | searches | saved,"search, searches, saved, searching, saved searches, word, looking, search feature, saved search, search bar"
Acumatica,45,5,ai features | automation | automate,"ai features, automation, automate, advanced, features don, adoption, reconciling, tasks, improve"
Acumatica,36,4,financial | services | meets,"financial, services, meets, customer support, reliable, business, best, say, support, customer"
Acumatica,49,3,tax | tax form | 1099 tax,"tax, tax form, 1099 tax, form, filing, year, report, taxes, forms"
Acumatica,55,3,delete | deleted | undo,"delete, deleted, undo, logs, file, files, entries, button, easy delete, memorized"
Acumatica,51,2,internet | connection | internet connection,"internet, connection, internet connection, offline, connectivity, network, internet connectivity, access, strong, required"
Acumatica,1,1,version | accounting | enterprise,"version, accounting, enterprise, access, inventory, quick, data, invoices, limited, multiple"
Acumatica,25,1,far | accounting | intact,"far, accounting, intact, order far, far don, financial management, accounting financial, financial, dont, say"
Acumatica,58,1,accessed | access | remote,"accessed, access, remote, based, order access, based sales, windows, available, able access, style"
Certinia,3,92,accounting | financial | reporting,"accounting, financial, reporting, accounts, reports, accountant, cash, finance, payable, balance"
Certinia,2,29,reports | reporting | report,"reports, reporting, report, custom, excel, custom reports, building, data, export, create"
Certinia,0,26,invoice | invoices | purchase order,"invoice, invoices, purchase order, purchase, vendor, payment, customer, orders, payments, paid"
Certinia,5,19,slow | times | load,"slow, times, load, performance, takes, data, bit slow, error, loading, lag"
Certinia,7,19,customization | customizations | customize,"customization, customizations, customize, party, require, customisation, customizable, business, options, limited"
Certinia,6,17,support | customer | service,"support, customer, service, pay, price, customer service, years, payroll, year, hours"
Certinia,9,17,systems | complex | implementation,"systems, complex, implementation, integration, learning, learning curve, curve, complexity, compared, customization"
Certinia,23,15,learning | curve | learning curve,"learning, curve, learning curve, learn, steep, steep learning, complex, takes, took, understand"
Certinia,4,11,support | customer | customer service,"support, customer, customer service, help, service, customer support, phone, questions, helpful, issue"
Certinia,24,11,bank | feeds | bank feeds,"bank, feeds, bank feeds, reconciliation, bank reconciliation, transactions, accounts, account, bank account, reconcile"
Certinia,16,10,dashboard | dashboards | interface,"dashboard, dashboards, interface, user interface, data, reports, intuitive, feel, tools, charts"
Certinia,42,10,integration | programming interface | programming,"integration, programming interface, programming, interface, integrations, party, integrate, code, lack, poor"
Certinia,19,9,love | using years | till,"love, using years, till, actually, perfect, enjoy, market, meets, soon, specific"
Certinia,40,9,training | learn | videos,"training, learn, videos, training videos, learning, proper training, tutorials, learn use, train, trainings"
Certinia,36,8,financial | services | meets,"financial, services, meets, customer support, reliable, business, best, say, support, customer"
Certinia,27,6,updates | update | upgrade,"updates, update, upgrade, upgrades, version, bugs, changes, updated, year, constant"
Certinia,29,6,ledger | general ledger | general,"ledger, general ledger, general, transactions, transaction, account, accounts, ledger account, report, entries"
Certinia,44,6,fields | field | data,"fields, field, data, custom, reports, report, names, search, custom fields, example"
Certinia,56,6,implementation | implementation process | implement,"implementation, implementation process, implement, long, complexity, development, initial implementation, complex, initial, roadmap"
Certinia,11,5,cost | high | expensive,"cost, high, expensive, price, small, pricing, costs, higher, businesses, cost high"
Certinia,12,5,order far | far | far don,"order far, far, far don, like sales, happy, order sales, early, just sales, using sales, encountered"
Certinia,17,5,easy use | say | encountered,"easy use, say, encountered, major, problems, friendly, real, user friendly, happy, did"
Certinia,20,5,navigate | hard | confusing,"navigate, hard, confusing, times, intuitive, information, certain, difficult navigate, finding, hard navigate"
Certinia,32,5,based | data | internet,"based, data, internet, version, storage, connection, file, backup, premise, backups"
Certinia,26,4,currency | multi currency | currencies,"currency, multi currency, currencies, multi, foreign, usd, tax, countries, multicurrency, vendor"
Certinia,37,4,journal | entries | journal entries,"journal, entries, journal entries, entry, page, journal entry, save, button, click, posting"
Certinia,47,4,invoice | edit | invoices,"invoice, edit, invoices, credit, payment, transactions, date, payable, check, paid"
Certinia,33,3,companies | multiple | company,"companies, multiple, company, consolidation, entity, entities, multiple companies, multiple entities, consolidate, accounts"
Certinia,38,3,permission | permissions | access,"permission, permissions, access, security, roles, sets, control, internal control, user permissions, passwords"
Certinia,41,3,interface | user interface | outdated,"interface, user interface, outdated, user experience, user friendly, interface user, improved, friendly, design, old"
Certinia,43,3,payroll | payroll module | taxes,"payroll, payroll module, taxes, states, employees, pay, tax, feature, module"
Certinia,57,3,modules | module | different modules,"modules, module, different modules, different, modules need, incomplete, field service, bugs, separately, missing"
Certinia,13,2,inventory | warehouse | management,"inventory, warehouse, management, warehouse management, planning, inventory management, material, stock, manufacturing, material requirements"
Certinia,21,2,say | comments | till,"say, comments, till, don like, dont, currently, say don, don really, like really, isn really"
Certinia,34,2,search | searches | saved,"search, searches, saved, searching, saved searches, word, looking, search feature, saved search, search bar"
Certinia,51,2,internet | connection | internet connection,"internet, connection, internet connection, offline, connectivity, network, internet connectivity, access, strong, required"
Certinia,1,1,version | accounting | enterprise,"version, accounting, enterprise, access, inventory, quick, data, invoices, limited, multiple"
Certinia,18,1,learning | learning curve | curve,"learning, learning curve, curve, feel, accounts, reports, new users, set, support, customer"
Certinia,28,1,version | mobile | app,"version, mobile, app, mobile app, web, available, functionality, friendly, mac, computer"
Certinia,31,1,log | login | user mode,"log, login, user mode, mode, logs, single user, logged, single, password, multi user"
Certinia,45,1,ai features | automation | automate,"ai features, automation, automate, advanced, features don, adoption, reconciling, tasks, improve"
Certinia,48,1,windows | open | window,"windows, open, window, screen, tab, new tab, tabs, multiple, screens, different"
Certinia,55,1,delete | deleted | undo,"delete, deleted, undo, logs, file, files, entries, button, easy delete, memorized"
Intuit Enterprise Suite,6,3,support | customer | service,"support, customer, service, pay, price, customer service, years, payroll, year, hours"
Intuit Enterprise Suite,0,2,invoice | invoices | purchase order,"invoice, invoices, purchase order, purchase, vendor, payment, customer, orders, payments, paid"
Intuit Enterprise Suite,2,1,reports | reporting | report,"reports, reporting, report, custom, excel, custom reports, building, data, export, create"
Intuit Enterprise Suite,9,1,systems | complex | implementation,"systems, complex, implementation, integration, learning, learning curve, curve, complexity, compared, customization"
Intuit Enterprise Suite,12,1,order far | far | far don,"order far, far, far don, like sales, happy, order sales, early, just sales, using sales, encountered"
Intuit Enterprise Suite,16,1,dashboard | dashboards | interface,"dashboard, dashboards, interface, user interface, data, reports, intuitive, feel, tools, charts"
Intuit Enterprise Suite,19,1,love | using years | till,"love, using years, till, actually, perfect, enjoy, market, meets, soon, specific"
Intuit Enterprise Suite,20,1,navigate | hard | confusing,"navigate, hard, confusing, times, intuitive, information, certain, difficult navigate, finding, hard navigate"
Intuit Enterprise Suite,27,1,updates | update | upgrade,"updates, update, upgrade, upgrades, version, bugs, changes, updated, year, constant"
Intuit Enterprise Suite,29,1,ledger | general ledger | general,"ledger, general ledger, general, transactions, transaction, account, accounts, ledger account, report, entries"
Intuit Enterprise Suite,40,1,training | learn | videos,"training, learn, videos, training videos, learning, proper training, tutorials, learn use, train, trainings"
Intuit Enterprise Suite,41,1,interface | user interface | outdated,"interface, user interface, outdated, user experience, user friendly, interface user, improved, friendly, design, old"
Intuit Enterprise Suite,43,1,payroll | payroll module | taxes,"payroll, payroll module, taxes, states, employees, pay, tax, feature, module"
Intuit Enterprise Suite,44,1,fields | field | data,"fields, field, data, custom, reports, report, names, search, custom fields, example"
Intuit Enterprise Suite,47,1,invoice | edit | invoices,"invoice, edit, invoices, credit, payment, transactions, date, payable, check, paid"
Microsoft Dynamics 365,22,103,business | products | management,"business, products, management, gets, finances, financial, relationship management, customer relationship, social"
Microsoft Dynamics 365,0,54,invoice | invoices | purchase order,"invoice, invoices, purchase order, purchase, vendor, payment, customer, orders, payments, paid"
Microsoft Dynamics 365,7,49,customization | customizations | customize,"customization, customizations, customize, party, require, customisation, customizable, business, options, limited"
Microsoft Dynamics 365,5,48,slow | times | load,"slow, times, load, performance, takes, data, bit slow, error, loading, lag"
