topic_id,doc_count,label,top_keywords,is_product_cluster,macro_group,group_label,plain_description,is_noise
0,833,invoice | invoices | purchase order,"invoice, invoices, purchase order, purchase, vendor, payment, customer, orders, payments, paid",False,accounts_payable_invoice_processing,Accounts Payable & Invoice Processing,"Reviewers are discussing frustrations with invoice and purchase order processing workflows, including difficulties with vendor payment processing, customer invoicing, and managing the complete procure-to-pay cycle. The complaints likely center on workflow inefficiencies, approval bottlenecks, or system limitations in handling purchase orders and invoice payments.",False
1,818,version | accounting | enterprise,"version, accounting, enterprise, access, inventory, quick, data, invoices, limited, multiple",False,financial_accounting_core,Financial Accounting & General Ledger,"Reviewers are complaining about limited functionality and restricted access in accounting and inventory modules, particularly around version constraints and enterprise features. They express frustration with basic ERP capabilities not meeting complex business needs across multiple entities or locations.",False
2,662,reports | reporting | report,"reports, reporting, report, custom, excel, custom reports, building, data, export, create",False,financial_reporting_analytics,Financial Reporting & Business Intelligence,"Reviewers are expressing frustrations with the financial reporting and business intelligence capabilities, specifically around difficulties in creating custom reports, limited report building functionality, and poor data export options to Excel.",False
3,635,accounting | financial | reporting,"accounting, financial, reporting, accounts, reports, accountant, cash, finance, payable, balance",False,financial_accounting_core,Financial Accounting & General Ledger,"Reviewers are discussing issues with core accounting and financial reporting functionality, including problems with accounts payable/receivable processes, cash flow management, and generating accurate financial reports.",False
4,374,support | customer | customer service,"support, customer, customer service, help, service, customer support, phone, questions, helpful, issue",False,customer_support_service,Customer Support & Service Quality,"Reviewers are expressing dissatisfaction with customer support and service quality, including difficulties reaching support representatives, unhelpful responses, and poor issue resolution times.",False
5,542,slow | times | load,"slow, times, load, performance, takes, data, bit slow, error, loading, lag",False,system_performance_reliability,System Performance & Reliability,"Reviewers are expressing frustration with slow system performance and lengthy data loading times across various ERP functions. They report experiencing delays when accessing information, processing transactions, and navigating between modules.",False
6,608,support | customer | service,"support, customer, service, pay, price, customer service, years, payroll, year, hours",False,customer_support_service,Customer Support & Service Quality,"Reviewers are expressing dissatisfaction with customer support quality, service responsiveness, and pricing concerns related to payroll processing functionality. The complaints focus on poor customer service experiences, high costs, and inadequate support during payroll operations.",False
7,414,customization | customizations | customize,"customization, customizations, customize, party, require, customisation, customizable, business, options, limited",False,customization_integration,Customization & Third-Party Integration,Reviewers are frustrated with limited customization capabilities and configuration options in their ERP systems. They express dissatisfaction with rigid business process workflows and insufficient ability to tailor the software to their specific operational requirements.,False
8,333,initial setup | initial | setup,"initial setup, initial, setup, warehouse, partner, management, implementation, wasn, team, items",False,implementation_complexity,"Implementation, Setup & Cost Management","Reviewers are expressing frustration with the complexity and challenges of initial ERP system implementation and setup processes. They specifically mention difficulties with warehouse configuration, working with implementation partners, and the overall complexity of getting the system operational initially.",False
9,328,systems | complex | implementation,"systems, complex, implementation, integration, learning, learning curve, curve, complexity, compared, customization",False,implementation_complexity,"Implementation, Setup & Cost Management","Reviewers are expressing frustration with the steep learning curve and overall complexity of ERP systems, particularly during implementation and when integrating with other business systems. They find these platforms difficult to learn and customize compared to simpler alternatives.",False
10,167,order far | far | enterprise,"order far, far, enterprise, did, say, quick, easy use, accounting, really don, bookkeeping",False,financial_accounting_core,Financial Accounting & General Ledger,Reviewers expressing frustration with accounting and bookkeeping functionality that falls short of expectations for enterprise-level order management and financial processes. Users find the systems don't adequately support complex business requirements despite being marketed as easy-to-use solutions.,False
