topic_id,doc_count,topic_name,top_keywords,is_noise
-1,4171,-1_check_transactions_learn_limitations,outlier — no coherent topic,True
0,1136,0_reporting_report_reports_excel,"reporting, report, reports, excel, accounting, report writer, reports difficult, writer, custom reports, building",False
1,981,1_online_pro_quickbook_desktop,"online, pro, quickbook, desktop, books, desktop enterprise, enterprise, desktop pro, quick books, book",False
2,837,2_price_pricing_medium_expensive,"price, pricing, medium, expensive, worth, small, higher, expensive small, high, curve",False
3,520,3_saved searches_searches_saved_powerful,"saved searches, searches, saved, powerful, fields, implementation, consultant, challenging, particularly, additionally",False
4,476,4_businesses_small businesses_advanced features_claims,"businesses, small businesses, advanced features, claims, issue bank, feeds, bank feeds, expense claims, advanced, api",False
5,426,5_intaact_university_interface feel_unintuitive,"intaact, university, interface feel, unintuitive, feel bit, cheque, new users, entity, certain customizations, success",False
6,387,6_cloud_ecc_erps_systems,"cloud, ecc, erps, systems, premise, costly, compared premise, migration, complexity, hardware",False
7,342,7_ui_interface_customization_interface user,"ui, interface, customization, interface user, looks, customize, user interface, customizations, user friendly, friendly",False
8,331,8_initial setup_initial_setup difficult_setup wasn,"initial setup, initial, setup difficult, setup wasn, aia, equipment, growing, partners, production, warehouse",False
9,313,9_slow_loading_load_lag,"slow, loading, load, lag, crashes, bit slow, freezes, lags, slowness, lag time",False
10,291,10_invoice_invoices_invoicing_send,"invoice, invoices, invoicing, send, invoice date, send invoices, paid, recurring, attached, ar",False
11,281,11_desktop_accountant_class_online doesn,"desktop, accountant, class, online doesn, casual, casual users, desktop version, clients, 10 years, years",False
12,224,12_customer service_customer support_service_customer,"customer service, customer support, service, customer, poor customer, chat, phone, hour, phone customer, reach",False
13,178,13_payroll_payroll module_hr_payroll feature,"payroll, payroll module, hr, payroll feature, payroll features, job costing, taxes, payroll taxes, gusto, payroll program",False
14,176,14_reconciliation_bank reconciliation_reconciled_bank,"reconciliation, bank reconciliation, reconciled, bank, payment, reconcile, ach, payments, bank account, match",False
15,157,15_cloud_cloud based_desktop version_desktop,"cloud, cloud based, desktop version, desktop, online version, based, version, remotely, offline, public cloud",False
16,151,16_user mode_multi user_mode_roles,"user mode, multi user, mode, roles, single user, permission, security, multi, multiple users, rights",False
17,142,17_search_searches_saved searches_saved,"search, searches, saved searches, saved, saved search, search bar, word, bar, fields, searching",False
18,126,18_inventory_inventory management_inventory module_boms,"inventory, inventory management, inventory module, boms, serial, shipping, stock, inventory control, management, quantity",False
19,124,19_navigate_layout_navigation_menus,"navigate, layout, navigation, menus, menu, difficult navigate, hard navigate, easy navigate, navigating, easier navigate",True
20,111,20_updates_update_new updates_updates time,"updates, update, new updates, updates time, bugs, updates need, frequent updates, frequent, updates change, reverted",False
21,107,21_integrations_integration_party applications_edi,"integrations, integration, party applications, edi, party, lack integration, integrating, applications, integration party, integration external",False
22,96,22_365_business central_central_social,"365, business central, central, social, finances, engage, business, disadvantages, setup configuration, crm",False
23,94,23_downsides_downside_think downsides_don downsides,"downsides, downside, think downsides, don downsides, disadvantages, think downside, temporary, really downside, human, really downsides",False
24,86,24_complaints_problems using_don issues_really complaints,"complaints, problems using, don issues, really complaints, issues issues, far, faced issue, works perfectly, complain, issues far",False
25,79,25_password_log_login_authentication,"password, log, login, authentication, logs, passwords, logout, factor authentication, logged, logging",False
26,73,26_training_training videos_videos_better training,"training, training videos, videos, better training, trainings, training courses, attend, videos help, virtual, greatest",False
27,70,27_help section_help_section_articles,"help section, help, section, articles, questions, help desk, information looking, answers, help center, help articles",False
28,70,28_currency_currencies_multi currency_foreign,"currency, currencies, multi currency, foreign, fx, multiple currencies, multi, multicurrency, usd, rates",False
29,67,29_upgrade_upgrades_upgrade years_yearly,"upgrade, upgrades, upgrade years, yearly, twice year, cycles, version year, having upgrade, upgrade process, cycle",False
30,54,30_backups_save_backup_saving,"backups, save, backup, saving, restore, drive, save work, does save, time save, backing",False
31,52,31_error_errors_error messages_messages,"error, errors, error messages, messages, error message, message, need fix, work occasionally, mistakes, errors occur",False
32,52,32_set time_difficult set_set_complex setup,"set time, difficult set, set, complex setup, set just, setup process, smooth sailing, setup, sailing, setup time",False
33,49,33_implementation_implementation process_implementation requires_exhausting,"implementation, implementation process, implementation requires, exhausting, implementation team, ideas, careful planning, implementation partner, implementation challenging, implementation difficult",False
34,49,34_simplified_understand features_tweak_features little,"simplified, understand features, tweak, features little, features difficult, features add, complexity, division, complex feel, things easier",False
35,46,35_dashboard_dashboards_dashboarding_wish options,"dashboard, dashboards, dashboarding, wish options, homepage, data make, users challenging, tables data, really enjoy, statistics",False
36,46,36_intaact_using daily_schedules_synced,"intaact, using daily, schedules, synced, face issues, possibility, inbuilt, till, technical issues, using years",False
37,44,37_bank feeds_feeds_bank feed_feed,"bank feeds, feeds, bank feed, feed, bank, subaccounts, bookkeeper, issues bank, bank statement, happening",False
38,41,38_crm_marketing_integration crm_crms,"crm, marketing, integration crm, crms, bolt, hubspot, leads, cost optimization, process crm, bummer",False
39,41,39_really good_works_enjoy_really pretty,"really good, works, enjoy, really pretty, change thing, just works, great maybe, cost just, easy handle, working good",False
40,40,40_ai_ai features_artificial intelligence_artificial,"ai, ai features, artificial intelligence, artificial, intelligence, reviews, reconciled, think lot, uploading receipts, currently limited",False
41,40,41_journal_journal entries_entries_journal entry,"journal, journal entries, entries, journal entry, journals, general journal, postings, entry, posted, data extraction",False
42,40,42_modules_certain modules_modules work_additional modules,"modules, certain modules, modules work, additional modules, process flow, additional fees, cost additional, incomplete, module, process isn",False
43,39,43_honestly isn_enjoyed_deserves_really enjoyed,"honestly isn, enjoyed, deserves, really enjoyed, relevant information, use dont, business easier, far experience, function need, knowledge don",False
44,38,44_license_licenses_licensing_user licenses,"license, licenses, licensing, user licenses, version new, licensing model, model, party tools, premise, model complex",False
45,37,45_var_vars_rocky_bit rocky,"var, vars, rocky, bit rocky, reseller, understood, decisions, relationship, bit struggle, value added",False
46,37,46_subscription_monthly subscription_use personal_pricey compared,"subscription, monthly subscription, use personal, pricey compared, plan, ads, subscriptions, expensive plan, use company, subscription based",False
47,36,47_financial management_certain processes_isp_guy,"financial management, certain processes, isp, guy, guidelines, simplifying, aid, financial, returned, processes feel",False
48,36,48_mobile_wish mobile_mobile apps_cell,"mobile, wish mobile, mobile apps, cell, phones, version does, device, lacks features, web, apps",False
49,35,49_timesheets_timesheet_time tracking_time entry,"timesheets, timesheet, time tracking, time entry, timecards, capturing, cells, 25, hours, history",False
50,34,50_tax_vat_sales tax_tax forms,"tax, vat, sales tax, tax forms, taxes, local, dimension, return, mileage, international",False
51,33,51_fixed asset_asset module_asset_fixed,"fixed asset, asset module, asset, fixed, prepaid, fixed assets, module, assets, asset management, assets module",False
52,31,52_mac_annual payroll_15 years_taken away,"mac, annual payroll, 15 years, taken away, enterprise, standalone, 15, upgrading, subscription model, owners",False
53,31,53_approval_approval process_approvals_approval processes,"approval, approval process, approvals, approval processes, approval workflows, approved, completing, notification, pending, bit modern",True
54,30,54_delete_deleted_easy delete_delete transactions,"delete, deleted, easy delete, delete transactions, delete transaction, deletion, delete entries, permanently, able delete, trail",False
55,28,55_ledger_general ledger_general_create account,"ledger, general ledger, general, create account, ledger entries, ledger report, ledgers, split, consolidating, account type",False
56,28,56_csv_import_csv import_imports,"csv, import, csv import, imports, able import, csv imports, import feature, importing, customer lists, systematic",False
57,26,57_european_localization_uk_english,"european, localization, uk, english, spanish, languages, country, terminology, countries, rich features",False
58,25,58_purchase order_purchase_orders_purchase orders,"purchase order, purchase, orders, purchase orders, sales order, order, loop, need manually, difficult adapt, sales orders",False
59,25,59_reconciling_sorting_end close_close,"reconciling, sorting, end close, close, databases, description, month, bins, able process, defaults",False
60,24,60_audit_trail_audit trail_lack audit,"audit, trail, audit trail, lack audit, editable, audit trails, ap automation, audit history, fields need, email notification",False
61,24,61_syncing_sync_platforms_mess things,"syncing, sync, platforms, mess things, campaign, reasonable time, size company, things used, problem takes, update released",False
62,23,62_chart_chart accounts_sub accounts_accounts,"chart, chart accounts, sub accounts, accounts, inactive accounts, subaccounts, charts, define, hierarchy, inactive",False
63,23,63_project management_project_projects_complete task,"project management, project, projects, complete task, needs improvements, cost think, able filter, requisition, features tracking, want example",False
64,23,64_reclassify_reclass_payee_card transactions,"reclassify, reclass, payee, card transactions, credit card, credit, bulk, card, feature add, paid",False
65,23,65_think think_head_think point_think right,"think think, head, think point, think right, moment, comes mind, think, think really, better think, think time",False
66,22,66_budget_budgets_budgeting_planning budgeting,"budget, budgets, budgeting, planning budgeting, compare, manager, arounds, work arounds, percentage, does support",False
67,22,67_hard make_certain transactions_memorized_make mistake,"hard make, certain transactions, memorized, make mistake, transactions, edit, mistake, editing, unforgiving, create mess",False
68,22,68_printing_print_printer_printed,"printing, print, printer, printed, checks, screenshot, printing reports, print checks, printing checks, checks printed",False
69,21,69_consolidation_entities_entity_working multiple,"consolidation, entities, entity, working multiple, multiple entities, volumes data, large volumes, multi entity, structures, volumes",False
