topic_id,doc_count,label,top_keywords,is_product_cluster,macro_group,group_label
0,1590,bookkeeping | accounting | payroll,"bookkeeping, accounting, payroll, small, track, enterprise, quick, recommend, reports, expenses",False,other,Other
1,891,inventory | customizable | project,"inventory, customizable, project, needs, manufacturing, processes, sales, management, reporting, helps",False,inventory_orders,Inventory & Orders
2,877,inventory | reporting | processes,"inventory, reporting, processes, systems, orders, management, operations, financial, visibility, manual",False,inventory_orders,Inventory & Orders
3,800,financial | reporting | reports,"financial, reporting, reports, accounting, helps, entity, manual, multi, allows",False,other,Other
4,796,bank | invoicing | accounting,"bank, invoicing, accounting, financial, invoices, bookkeeping, reconciliation, cash flow, makes, cash",False,bank_reconciliation,Bank & Reconciliation
5,475,real | analytics | processes,"real, analytics, processes, decision, operations, decision making, insights, business processes, making",False,automation_workflow,Automation & Workflow
6,551,invoices | invoicing | invoice,"invoices, invoicing, invoice, payments, billing, customers, send, customer, track, payment",False,invoicing_payments,Invoicing & Payments
7,358,bookkeeping | accounting | small,"bookkeeping, accounting, small, don, clients, accountant, cost, best, small business, access",False,mobile_access,Mobile & Remote Access
8,801,accounting | small | accounting easy,"accounting, small, accounting easy, business accounting, accounts, needs, small business, simple, accounting needs",False,accounting_bookkeeping,Accounting & Bookkeeping
9,407,inventory | inventory management | order,"inventory, inventory management, order, orders, management, sales, tracking, supply, manufacturing, inventory control",False,inventory_orders,Inventory & Orders
10,481,reports | reporting | report,"reports, reporting, report, financial reporting, financial, custom, run, generate, detailed, financial reports",False,reporting_analytics,Reporting & Analytics
11,409,bank | transactions | reconciliation,"bank, transactions, reconciliation, accounts, journal, transaction, entries, account, reconciliations, bank accounts",False,bank_reconciliation,Bank & Reconciliation
12,263,systems | best | management,"systems, best, management, based, erps, manufacturing, enterprise, cost, flexible, customizable",False,customization,Customization & Flexibility
13,236,sales | financial | power bi,"sales, financial, power bi, power, management, operations, functions, tools",False,reporting_analytics,Reporting & Analytics
14,721,helps | allows | helping,"helps, allows, helping, easier, track, helped, makes, place, financial, benefits",False,noise,Noise / Filler
15,413,payroll | expenses | track,"payroll, expenses, track, tax, keeping track, income, keeping, tracking, expense, taxes",False,payroll_hr,Payroll & HR
16,189,automation | processes | manual,"automation, processes, manual, process, manual processes, automating, workflows, tasks, business processes, business process",False,automation_workflow,Automation & Workflow
17,122,ap automation | ap ar | ar ap,"ap automation, ap ar, ar ap, automation, ap process, reporting",False,accounting_bookkeeping,Accounting & Bookkeeping
18,222,recommend | small | trial,"recommend, small, trial, best, small business, free trial, sure, definitely, try",False,noise,Noise / Filler
19,107,suite | entities | vendor,"suite, entities, vendor, multiple, multiple entities, reports, helps, entries, reporting, enterprise",False,multi_entity,Multi-Entity & Consolidation
20,184,small | small business | businesses,"small, small business, businesses, small businesses, size, recommend, companies, medium, business small, smaller",False,other,Other
21,157,worth | recommend | price,"worth, recommend, price, definitely, try, love, cost effective, ease",False,pricing_licensing,Pricing & Licensing
