topic_id,doc_count,topic_name,top_keywords,is_noise
-1,4062,-1_ease_ability_access_able,outlier — no coherent topic,True
0,5563,0_online_desktop_365_invoices,"online, desktop, 365, invoices, pro, cloud, enterprise, easy use, reports, small",False
1,899,1_appreciate_inquiries_initial setup_initial,"appreciate, inquiries, initial setup, initial, generic inquiries, generic, gis, setup, var, manufacturing",False
2,840,2_bank_invoicing_reconciliation_cash flow,"bank, invoicing, reconciliation, cash flow, initial setup, initial, setup, invoices, cash, clean",False
3,781,3_searches_saved searches_workflows_operations,"searches, saved searches, workflows, operations, saved, customizable, appreciate, inventory, systems, needs",False
4,710,4_entity_multi entity_multi_intaact,"entity, multi entity, multi, intaact, automation, financial, ap, reporting, entities, manual",False
5,317,5_desktop_qbe_pro_accountant,"desktop, qbe, pro, accountant, does, years, small, payroll, online, standard",False
6,148,6_bank_reconciliation_currency_bank reconciliation,"bank, reconciliation, currency, bank reconciliation, bank feed, feed, bank accounts, feeds, reconcile, banks",False
7,147,7_database_fiori_ecc_memory,"database, fiori, ecc, memory, analytics, cloud, gui, business process, load, cds",False
8,119,8_using years_record transactions_entries_provides,"using years, record transactions, entries, provides, vendor creation, years working, book journal, dimensions, nexonia, entries ease",False
9,108,9_customer service_customer support_customer_support,"customer service, customer support, customer, support, service, support team, agent, implementation customer, answer questions, problem",False
10,87,10_automation_processes_automate processes_automation integration,"automation, processes, automate processes, automation integration, business processes, automate, processes flexibility, processes automated, business process, love automation",False
11,82,11_financial management_hr_management_financial,"financial management, hr, management, financial, payroll processing, revenue management, pay, trainings, management user, employee",False
12,74,12_log_internet_phone_device,"log, internet, phone, device, ability log, computer, access, internet connection, able log, access account",False
13,72,13_inventory_inventory levels_quote_manage inventory,"inventory, inventory levels, quote, manage inventory, inbound, order, inventory management, quantity, inventory tracking, sales",False
14,63,14_transaction_transactions_enter transactions_batch,"transaction, transactions, enter transactions, batch, changes easy, transaction codes, posting transactions, transactions easy, transactions user, drill transactions",False
15,53,15_searches_saved searches_saved_saved search,"searches, saved searches, saved, saved search, reports saved, use saved, search, create custom, need create, search functionality",False
16,50,16_modules_integrated modules_modules easy_access modules,"modules, integrated modules, modules easy, access modules, good user, use modules, module, modules easily, integration modules, different modules",False
17,50,17_integration platforms_platforms_groups_platforms use,"integration platforms, platforms, groups, platforms use, brand, implement new, security, need integrations, platforms ease, recommend best",False
18,40,18_excel_data excel_excel easy_export,"excel, data excel, excel easy, export, download excel, excel great, use excel, word excel, export data, export excel",False
