product_name,topic_id,doc_count,top_keywords
Acumatica,8,331,"initial setup, initial, setup difficult, setup wasn, aia, equipment, growing, partners, production, warehouse"
Acumatica,0,142,"reporting, report, reports, excel, accounting, report writer, reports difficult, writer, custom reports, building"
Acumatica,2,101,"price, pricing, medium, expensive, worth, small, higher, expensive small, high, curve"
Acumatica,7,64,"ui, interface, customization, interface user, looks, customize, user interface, customizations, user friendly, friendly"
Acumatica,45,37,"var, vars, rocky, bit rocky, reseller, understood, decisions, relationship, bit struggle, value added"
Acumatica,18,34,"inventory, inventory management, inventory module, boms, serial, shipping, stock, inventory control, management, quantity"
Acumatica,13,31,"payroll, payroll module, hr, payroll feature, payroll features, job costing, taxes, payroll taxes, gusto, payroll program"
Acumatica,16,28,"user mode, multi user, mode, roles, single user, permission, security, multi, multiple users, rights"
Acumatica,6,27,"cloud, ecc, erps, systems, premise, costly, compared premise, migration, complexity, hardware"
Acumatica,9,27,"slow, loading, load, lag, crashes, bit slow, freezes, lags, slowness, lag time"
Acumatica,10,20,"invoice, invoices, invoicing, send, invoice date, send invoices, paid, recurring, attached, ar"
Acumatica,71,20,"field service, service module, field, field services, calendar, techs, board, team members, service, module"
Acumatica,21,18,"integrations, integration, party applications, edi, party, lack integration, integrating, applications, integration party, integration external"
Acumatica,29,18,"upgrade, upgrades, upgrade years, yearly, twice year, cycles, version year, having upgrade, upgrade process, cycle"
Acumatica,35,18,"dashboard, dashboards, dashboarding, wish options, homepage, data make, users challenging, tables data, really enjoy, statistics"
Acumatica,38,17,"crm, marketing, integration crm, crms, bolt, hubspot, leads, cost optimization, process crm, bummer"
Acumatica,70,16,"wms, robust, alternate, bare bones, decrease, implemention, child, bones, packing slips, powerful advanced"
Acumatica,85,14,"generic inquiries, inquiries, generic, inquiry, develop, reports custom, customization need, dashboards better, need information, power comes"
Acumatica,20,13,"updates, update, new updates, updates time, bugs, updates need, frequent updates, frequent, updates change, reverted"
Acumatica,23,13,"downsides, downside, think downsides, don downsides, disadvantages, think downside, temporary, really downside, human, really downsides"
Acumatica,26,13,"training, training videos, videos, better training, trainings, training courses, attend, videos help, virtual, greatest"
Acumatica,33,13,"implementation, implementation process, implementation requires, exhausting, implementation team, ideas, careful planning, implementation partner, implementation challenging, implementation difficult"
Acumatica,24,12,"complaints, problems using, don issues, really complaints, issues issues, far, faced issue, works perfectly, complain, issues far"
Acumatica,73,12,"manufacturing, traceability, production, able lot, features compared, missing functionality, blocking, functionality lack, ability drill, serialized items"
Acumatica,31,11,"error, errors, error messages, messages, error message, message, need fix, work occasionally, mistakes, errors occur"
Acumatica,32,11,"set time, difficult set, set, complex setup, set just, setup process, smooth sailing, setup, sailing, setup time"
Acumatica,91,10,"mrp, blanket, wise, users better, want nice, use initial, want write, improved time, items wish, bad data"
Acumatica,42,9,"modules, certain modules, modules work, additional modules, process flow, additional fees, cost additional, incomplete, module, process isn"
Acumatica,49,9,"timesheets, timesheet, time tracking, time entry, timecards, capturing, cells, 25, hours, history"
Acumatica,97,9,"construction, construction module, construction companies, module functionality, needs attention, work really, based company, firm, tools need, adjusted"
Acumatica,12,8,"customer service, customer support, service, customer, poor customer, chat, phone, hour, phone customer, reach"
Acumatica,14,8,"reconciliation, bank reconciliation, reconciled, bank, payment, reconcile, ach, payments, bank account, match"
