topic_id,doc_count,label,top_keywords,is_product_cluster,macro_group,group_label
0,1693,accounting | business | small,"accounting, business, small, track, payroll, bookkeeping, invoices, expenses, reports",False,reporting_analytics,Reporting & Analytics
1,902,appreciate | initial | initial setup,"appreciate, initial, initial setup, setup, business, allows, needs, inquiries, makes",False,implementation_setup,Implementation & Setup
2,841,bank | accounting | invoices,"bank, accounting, invoices, invoicing, financial, makes, reconciliation, setup, simple, transactions",False,bank_reconciliation,Bank & Reconciliation
3,784,business | needs | appreciate,"business, needs, appreciate, reporting, operations, workflows, inventory, searches, customizable, systems",False,other,Other
4,712,financial | reporting | accounting,"financial, reporting, accounting, reports, automation, entity, multi, makes, best, helpful",False,other,Other
5,845,reports | reporting | report,"reports, reporting, report, reports easy, custom, customize, run, custom reports, create, customize reports",False,customization,Customization & Flexibility
6,935,navigate | easy navigate | learn,"navigate, easy navigate, learn, intuitive, friendly easy, training, understand, navigation",False,ease_of_use,Ease of Use & UX
7,449,analytics | real | business,"analytics, real, business, fiori, best, memory, processes, integration",False,integrations_api,Integrations & API
8,590,invoices | invoice | invoicing,"invoices, invoice, invoicing, payments, payroll, send, create, customers, billing, pay",False,payroll_hr,Payroll & HR
9,320,accounting | bank | accountant,"accounting, bank, accountant, payroll, small, years, businesses, account",False,other,Other
10,965,accounting | accountant | expenses,"accounting, accountant, expenses, accounts, track, payroll, tax, accountants, business, reports",False,reporting_analytics,Reporting & Analytics
11,409,excel | export | database,"excel, export, database, real, import, access data, analytics, data management",False,reporting_analytics,Reporting & Analytics
12,496,business | needs | customize,"business, needs, customize, small, flexibility, businesses, business needs, ability customize, fit, company",False,customization,Customization & Flexibility
13,431,learn | products | business,"learn, products, business, easy learn, company, needs, programs, small",False,ease_of_use,Ease of Use & UX
14,203,business | addition | sales,"business, addition, sales, management, financial, finances, power, tools, power bi",False,reporting_analytics,Reporting & Analytics
15,204,erps | systems | business,"erps, systems, business, best, based, company, enterprise, integrated, integration, management",False,other,Other
16,285,customization | customize | customizable,"customization, customize, customizable, ability customize, new, customizations, easy customize, fields, flexibility",False,customization,Customization & Flexibility
17,287,based | based access | base,"based, based access, base, updates, remote, work, office, collaboration",False,other,Other
18,143,reporting | suite | enterprise,"reporting, suite, enterprise, reports, entries, module, entities, provides, multiple",False,other,Other
19,261,bank | reconciliation | bank accounts,"bank, reconciliation, bank accounts, accounts, bank reconciliation, feeds, bank feeds, bank feed, feed, banking",False,bank_reconciliation,Bank & Reconciliation
20,184,dashboard | dashboards | reporting,"dashboard, dashboards, reporting, reports, dashboard easy, reports dashboards, reporting dashboards, gives, insights, dashboards reports",False,reporting_analytics,Reporting & Analytics
